Title: Stellar activity mimics a habitable-zone planet around Kapteyn's star
Authors: Robertson P., Roy A., Mahadevan S. 
Figure: I_H{alpha}_ measurements from HARPS and HIRES
================================================================================
Byte-by-byte Description of file: dbf2.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  5 A5     ---     Spec   Spectrograph used
   7- 22 F16.8  d       BJD    Barycentric Julian Date
  24- 28 F5.2   m/s     RVel   Radial velocity
  30- 33 F4.2   m/s   e_RVel   The 1{sigma} uncertainty in RVel
  35- 41 F7.5   ---     IHa    H{alpha} activity index
  43- 49 F7.5   ---   e_IHa    The 1{sigma} uncertainty in IHa
  51- 57 F7.5   ---     ID     ? Na I D resonance activity index
  59- 65 F7.5   ---   e_ID     ? The 1{sigma} uncertainty in ID
  67- 73 F7.5   km/s    FWHM   ? Full-Width at Half-Maximum of HARPS CCF
  75- 79 F5.2   m/s   e_FWHM   ? The 1{sigma} uncertainty in FWHM
  81- 87 F7.3   m/s     BIS    ? Bisector Inverse Slope
  89- 93 F5.3   m/s   e_BIS    ? The 1{sigma} uncertainty in BIS
--------------------------------------------------------------------------------
HARPS 2456657.55783236  1.33 0.75 0.07354 0.00030 0.05080 0.00170 3.23440  6.39 -15.93  5.44  
HARPS 2456657.59109556  2.32 0.53 0.07370 0.00030 0.04982 0.00176 3.22613  6.00 -11.35  5.10  
HARPS 2456657.64325884  1.65 0.64 0.07433 0.00031 0.05171 0.00164 3.23349  5.85 -20.25  4.98  
HARPS 2456657.70141737  2.59 0.57 0.07468 0.00030 0.05071 0.00170 3.22803  5.36 -22.87  4.56  
HARPS 2456657.75751575  0.63 0.62 0.07451 0.00030 0.04983 0.00170 3.22937  4.96 -12.15  4.22  
HARPS 2456658.57385290  2.80 0.58 0.07462 0.00031 0.04886 0.00169 3.22915  6.12 -14.34  5.21  
HARPS 2456658.60490549  1.03 0.51 0.07459 0.00031 0.04943 0.00170 3.22903  5.75 -13.73  4.89  
HARPS 2456658.70151224  1.26 0.65 0.07422 0.00031 0.04931 0.00176 3.23390  4.93 -22.65  4.19  
HARPS 2456658.70928985  1.26 0.65 0.07439 0.00032 0.04910 0.00172 3.23389  4.76 -13.99  4.05  
HARPS 2456658.76592060  2.35 0.43 0.07407 0.00031 0.04848 0.00171 3.23430  4.59 -18.94  3.90  
HARPS 2456658.84514346  1.04 0.55 0.07450 0.00032 0.04820 0.00173 3.22258  5.12 -15.29  4.36  
HARPS 2456659.63210574  1.86 0.53 0.07370 0.00031 0.04970 0.00170 3.22592  4.66 -16.06  3.97  
HARPS 2456659.69120168  0.19 0.57 0.07376 0.00031 0.05078 0.00171 3.22666  4.79 -21.48  4.07  
HARPS 2456659.74851525  0.31 0.45 0.07406 0.00031 0.05103 0.00165 3.23529  4.97 -18.22  4.23  
HARPS 2456659.79823638  1.45 0.66 0.07381 0.00031 0.04984 0.00170 3.22895  5.65 -15.94  4.81  
HARPS 2456660.53935435  0.99 0.74 0.07442 0.00032 0.05046 0.00167 3.22555  7.53 -17.56  6.41  
HARPS 2456660.59008239  0.61 0.61 0.07432 0.00031 0.05095 0.00163 3.22530  6.07 -18.14  5.16  
HARPS 2456660.62526680  1.24 0.52 0.07408 0.00032 0.05042 0.00166 3.23040  5.15 -17.64  4.38  
HARPS 2456660.68361041  2.24 0.61 0.07417 0.00032 0.04956 0.00181 3.22632  5.62 -20.01  4.78  
HARPS 2456660.74382897  1.46 0.63 0.07433 0.00031 0.05042 0.00173 3.23021  6.68 -19.67  5.68  
HARPS 2456660.79408248  3.28 0.76 0.07486 0.00033 0.05210 0.00178 3.21817  8.17 -16.32  6.96  
HARPS 2456660.82165131  3.14 0.98 0.07522 0.00032 0.05160 0.00171 3.22440  9.53 -11.35  8.11  
HARPS 2456661.53634585  2.80 0.51 0.07447 0.00032 0.05144 0.00166 3.23869  5.47 -17.95  4.66  
HARPS 2456661.56643776  2.21 0.55 0.07385 0.00030 0.05070 0.00166 3.22678  5.80 -22.94  4.93  
HARPS 2456661.59856666  1.54 0.67 0.07343 0.00031 0.05034 0.00172 3.22913  5.46 -18.26  4.65  
HARPS 2456661.65691023  0.66 0.52 0.07382 0.00030 0.05022 0.00178 3.22991  5.82 -15.07  4.95  
HARPS 2456661.71555473  0.18 0.48 0.07392 0.00033 0.04854 0.00173 3.23367  5.71 -17.45  4.86  
HARPS 2456661.77193076  0.66 0.81 0.07388 0.00032 0.05074 0.00173 3.22562  6.93 -15.23  5.90  
HARPS 2456665.54012783  3.21 0.62 0.07320 0.00031 0.05216 0.00175 3.23226  5.59 -21.03  4.76  
HARPS 2456665.61482505  0.85 0.41 0.07334 0.00031 0.05317 0.00171 3.22970  5.22 -19.92  4.44  
HARPS 2456665.63272969  0.89 0.86 0.07276 0.00031 0.05231 0.00166 3.23437  6.64 -11.22  5.65  
HARPS 2456665.64914132  1.06 0.59 0.07314 0.00030 0.05186 0.00173 3.22940  5.77 -17.88  4.91  
HARPS 2456665.66524046  2.73 0.69 0.07290 0.00032 0.05179 0.00171 3.23011  6.60 -14.65  5.62  
HARPS 2456665.68169838  0.33 0.65 0.07294 0.00032 0.05187 0.00170 3.22440  5.96 -25.00  5.07  
HARPS 2456665.69927896  1.95 0.59 0.07320 0.00030 0.05168 0.00173 3.22877  6.12 -14.91  5.21  
HARPS 2456665.73292396  1.00 0.71 0.07335 0.00032 0.05065 0.00180 3.23350  6.49 -15.01  5.53  
HARPS 2456665.74854857  0.60 0.82 0.07316 0.00032 0.05108 0.00175 3.22267  7.57 -19.90  6.44  
HARPS 2456665.76395327  1.46 0.83 0.07338 0.00032 0.05031 0.00173 3.24003  8.15 -11.31  6.93  
HARPS 2456666.53144553  1.56 0.53 0.07378 0.00033 0.05331 0.00172 3.23915  7.04 -24.43  5.99  
HARPS 2456666.62771623  1.60 0.59 0.07367 0.00031 0.05268 0.00174 3.23980  5.90 -17.44  5.02  
HARPS 2456666.67780755  0.95 0.64 0.07335 0.00032 0.05208 0.00166 3.23593  6.33 -16.36  5.39  
HARPS 2456666.74492390  1.06 0.62 0.07361 0.00032 0.05154 0.00174 3.23134  6.07 -16.84  5.17  
HARPS 2456666.76073368  0.33 0.66 0.07362 0.00032 0.05172 0.00181 3.23444  6.72 -20.41  5.72  
HARPS 2456667.54294739  2.00 0.73 0.07352 0.00032 0.05305 0.00169 3.23688  7.82 -17.10  6.66  
HARPS 2456667.59735570  0.29 0.61 0.07340 0.00030 0.05273 0.00165 3.22146  6.24 -15.19  5.31  
HARPS 2456667.60350138  1.62 0.56 0.07352 0.00030 0.05323 0.00166 3.22866  6.25 -15.41  5.32  
HARPS 2456667.67412455  2.21 0.79 0.07303 0.00030 0.05303 0.00158 3.24041  7.18 -13.64  6.11  
HARPS 2456667.74602083  1.04 0.57 0.07324 0.00032 0.05187 0.00167 3.23414  6.56 -11.69  5.58  
HARPS 2456667.79693386  2.86 0.72 0.07329 0.00032 0.05277 0.00171 3.23283  7.67  -5.577 6.53  
